disciplinaResumen,barrio,comuna,establecimiento,cantidad
MIXTO,Boca,Comuna 04,Barrio Rodrigo Bueno,2
MIXTO,Boca,Comuna 04,Biblioteca Joaquin V Gonzalez,3
MIXTO,Boca,Comuna 04,Usina Del Arte,68
MIXTO,Chacarita,Comuna 15,Barrio Playon De Chacarita,3
MIXTO,Chacarita,Comuna 15,Biblioteca Baldomero Fernandez Moreno,1
MIXTO,Chacarita,Comuna 15,Espacio Cultural Carlos Gardel,1
MIXTO,Constitucion,Comuna 01,,1
MIXTO,Flores,Comuna 07,,1
MIXTO,Flores,Comuna 07,Espacio Cultural Marco Del Pont,2
MIXTO,Mataderos,Comuna 09,Feria De Mataderos,1
MIXTO,Mataderos,Comuna 09,Plaza Los Perales,1
MIXTO,Monserrat,Comuna 01,,2
MIXTO,Monserrat,Comuna 01,Biblioteca Martin Del Barco Centenera,12
MIXTO,Monserrat,Comuna 01,Casa De La Cultura,1
MIXTO,Monserrat,Comuna 01,La Vidriera,6
MIXTO,Nueva pompeya,Comuna 04,Barrio Zavalela,1
MIXTO,Nueva pompeya,Comuna 04,Escuela Dean Diego Estanislao De Zavaleta,1
MIXTO,Nueva pompeya,Comuna 04,Plaza Kevin,1
MIXTO,Nuñez,Comuna 13,Distintos Puntos De La Ciudad,1
MIXTO,Nuñez,Comuna 13,Museo Malvinas E Islas Atlantico Sur,8
MIXTO,Nuñez,Comuna 13,Museo Quinquela Martin,2
MIXTO,Palermo,Comuna 14,,2
MIXTO,Palermo,Comuna 14,Biblioteca Carlos Guido Y Spano,9
MIXTO,Palermo,Comuna 14,Museo Jose Hernandez,4
MIXTO,Parque avellaneda,Comuna 09,,1
MIXTO,Parque avellaneda,Comuna 09,Barrio Cildañez,1
MIXTO,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,2
MIXTO,Parque chacabuco,Comuna 07,Espacio Cultural Adan Buenosayres,4
MIXTO,Parque chas,Comuna 15,Hospital General De Agudos Enrique Tornu,1
MIXTO,Parque patricios,Comuna 04,,1
MIXTO,Parque patricios,Comuna 04,Biblioteca Enrique Banchs,3
MIXTO,Parque patricios,Comuna 04,Hospital De Pediatria Garrahan,2
MIXTO,Recoleta,Comuna 02,Cancha De Los Paraguayos,8
MIXTO,Recoleta,Comuna 02,Centro Cultural Recoleta,120
MIXTO,Retiro,Comuna 01,Barrio 31,2
MIXTO,Retiro,Comuna 01,Biblioteca Ricardo Guiraldes,10
MIXTO,Retiro,Comuna 01,Cedel,5
MIXTO,Retiro,Comuna 01,Gendarmeria Nacional Y Rodolfo Walsh,1
MIXTO,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,2
MIXTO,Retiro,Comuna 01,Plaza Del Portal,1
MIXTO,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,1
MIXTO,San cristobal,Comuna 03,,2
MIXTO,San cristobal,Comuna 03,Polo Circo,1
MIXTO,San nicolas,Comuna 01,Centro Cultural San Martin,6
MIXTO,San nicolas,Comuna 01,Teatro Colon,14
MIXTO,San nicolas,Comuna 01,Teatro San Martin,15
MIXTO,San telmo,Comuna 01,Escuela Bernardino Rivadavia,1
MIXTO,Villa crespo,Comuna 15,Biblioteca Casa De La Lectura,7
MIXTO,Villa del parque,Comuna 11,Espacio Cultural Resurgimiento,2
MIXTO,Villa devoto,Comuna 11,Biblioteca Antonio Devoto,7
MIXTO,Villa lugano,Comuna 08,,3
MIXTO,Villa lugano,Comuna 08,Complejo Padre Mugica,1
MIXTO,Villa lugano,Comuna 08,Villa 20,5
MIXTO,Villa soldati,Comuna 08,,2
MIXTO,Villa soldati,Comuna 08,Barrio Fatima,1
MIXTO,Villa soldati,Comuna 08,Jardin Ramon Carrillo,1
MIXTO,Villa soldati,Comuna 08,Plaza Carrillo,2
MIXTO,Villa soldati,Comuna 08,Villa 20,1
MIXTO,Villa urquiza,Comuna 12,Centro Cultural 25 De Mayo,16
MÚSICA,Almagro,Comuna 05,,3
MÚSICA,Almagro,Comuna 05,Bar El Simbolo,1
MÚSICA,Almagro,Comuna 05,Conservatorio Superior De Música De La Ciudad De Bs. As. Astor Piazzolla,2
MÚSICA,Almagro,Comuna 05,Conservatorio Superior De Música Manuel De Falla,10
MÚSICA,Almagro,Comuna 05,Universidad Tecnologica Nacional,2
MÚSICA,Balvanera,Comuna 03,Centro Cultural Alfonsina Storni,2
MÚSICA,Balvanera,Comuna 03,Ciudad Cultural Konex,2
MÚSICA,Balvanera,Comuna 03,Congreso De La Nacion,3
MÚSICA,Balvanera,Comuna 03,El Emergente Abasto,1
MÚSICA,Balvanera,Comuna 03,La Academia,2
MÚSICA,Balvanera,Comuna 03,Museo Casa Carlos Gardel,6
MÚSICA,Balvanera,Comuna 03,Teatro Monte Viejo,6
MÚSICA,Barracas,Comuna 04,,1
MÚSICA,Barracas,Comuna 04,Espacio Cultural Del Sur,44
MÚSICA,Barracas,Comuna 04,La Flor De Barracas,1
MÚSICA,Barracas,Comuna 04,Museo Historico Nacional,5
MÚSICA,Belgrano,Comuna 13,,1
MÚSICA,Belgrano,Comuna 13,Auditorio Belgrano,1
MÚSICA,Belgrano,Comuna 13,Museo De Arte Español Enrique Larreta,11
MÚSICA,Boca,Comuna 04,,1
MÚSICA,Boca,Comuna 04,Barrio Rodrigo Bueno,1
MÚSICA,Boca,Comuna 04,Biblioteca Joaquin V Gonzalez,1
MÚSICA,Boca,Comuna 04,Usina Del Arte,509
MÚSICA,Boedo,Comuna 05,,1
MÚSICA,Caballito,Comuna 06,Anfiteatro Eva Perón,1
MÚSICA,Caballito,Comuna 06,Anfiteatro Parque Centenario,2
MÚSICA,Caballito,Comuna 06,Bar,1
MÚSICA,Caballito,Comuna 06,Centro Cultural El Eternauta,1
MÚSICA,Caballito,Comuna 06,Centro Cultural Lola Mora,5
MÚSICA,Caballito,Comuna 06,Centro Cultural Sebastian Piana,5
MÚSICA,Caballito,Comuna 06,Iglesia Santa Julia,1
MÚSICA,Caballito,Comuna 06,Museo Escultores L. Perlotti,4
MÚSICA,Chacarita,Comuna 15,,1
MÚSICA,Chacarita,Comuna 15,Barrio Playon De Chacarita,1
MÚSICA,Chacarita,Comuna 15,Espacio Cultural Carlos Gardel,32
MÚSICA,Chacarita,Comuna 15,Teatro Regio,1
MÚSICA,Colegiales,Comuna 13,Centro Cultural Colegiales,2
MÚSICA,Flores,Comuna 07,,1
MÚSICA,Flores,Comuna 07,Espacio Cultural Marco Del Pont,25
MÚSICA,Flores,Comuna 07,Madre Del Pueblo,1
MÚSICA,Floresta,Comuna 10,Centro Cultural Baldomero Fernandez Moreno,1
MÚSICA,Mataderos,Comuna 09,,1
MÚSICA,Mataderos,Comuna 09,Plaza Los Perales,1
MÚSICA,Monserrat,Comuna 01,,5
MÚSICA,Monserrat,Comuna 01,Academia Nacional Del Tango,2
MÚSICA,Monserrat,Comuna 01,Bar,8
MÚSICA,Monserrat,Comuna 01,Bar 36 Billares,2
MÚSICA,Monserrat,Comuna 01,Casa De La Cultura,9
MÚSICA,Monserrat,Comuna 01,Casa Museo Fernandez Blanco,10
MÚSICA,Monserrat,Comuna 01,Espacio Virrey Liniers,5
MÚSICA,Monserrat,Comuna 01,La Vidriera,37
MÚSICA,Monserrat,Comuna 01,Legislatura Porteña,5
MÚSICA,Monserrat,Comuna 01,Museo De La Ciudad,5
MÚSICA,Monte castro,Comuna 10,Centro Cultural El Taller,1
MÚSICA,Nueva pompeya,Comuna 04,Plaza Kevin,2
MÚSICA,Nueva pompeya,Comuna 04,Polo Bandoneon,10
MÚSICA,Palermo,Comuna 14,,4
MÚSICA,Palermo,Comuna 14,Museo Jose Hernandez,22
MÚSICA,Palermo,Comuna 14,Museo Sivori,1
MÚSICA,Parque avellaneda,Comuna 09,,1
MÚSICA,Parque avellaneda,Comuna 09,Barrio Cildañez,1
MÚSICA,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,58
MÚSICA,Parque chacabuco,Comuna 07,,4
MÚSICA,Parque chacabuco,Comuna 07,Espacio Cultural Adan Buenosayres,21
MÚSICA,Parque patricios,Comuna 04,Biblioteca Enrique Banchs,1
MÚSICA,Puerto madero,Comuna 01,Ex-cerveceria Munich,1
MÚSICA,Recoleta,Comuna 02,Bar,5
MÚSICA,Recoleta,Comuna 02,Bliblioteca Nacional,3
MÚSICA,Recoleta,Comuna 02,Cancha De Los Paraguayos,2
MÚSICA,Recoleta,Comuna 02,Centro Cultural Recoleta,80
MÚSICA,Recoleta,Comuna 02,Plaza Francia,1
MÚSICA,Recoleta,Comuna 02,Uba,2
MÚSICA,Retiro,Comuna 01,,1
MÚSICA,Retiro,Comuna 01,Bar,3
MÚSICA,Retiro,Comuna 01,Barrio 31,6
MÚSICA,Retiro,Comuna 01,Biblioteca Ricardo Guiraldes,1
MÚSICA,Retiro,Comuna 01,Colegio Domingo Faustino Sarmiento,1
MÚSICA,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,37
MÚSICA,Saavedra,Comuna 12,Biblioteca Popular Cornelio Saavedra,1
MÚSICA,Saavedra,Comuna 12,Centro Cultural Lino E. Spilimbergo,1
MÚSICA,Saavedra,Comuna 12,Escuela Superior De Educacion Artistica En Música Juan Pedro Esnaola,1
MÚSICA,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,13
MÚSICA,San cristobal,Comuna 03,,18
MÚSICA,San cristobal,Comuna 03,Espacio Cultural Julian Centeya,15
MÚSICA,San nicolas,Comuna 01,,3
MÚSICA,San nicolas,Comuna 01,Asociacion Dante Alighieri,1
MÚSICA,San nicolas,Comuna 01,Auditorio Umsa,1
MÚSICA,San nicolas,Comuna 01,Bar,1
MÚSICA,San nicolas,Comuna 01,Bar Celta,1
MÚSICA,San nicolas,Comuna 01,Bolsa De Comercio,5
MÚSICA,San nicolas,Comuna 01,Cck,9
MÚSICA,San nicolas,Comuna 01,Centro Cultural San Martin,57
MÚSICA,San nicolas,Comuna 01,El Gato Negro,1
MÚSICA,San nicolas,Comuna 01,Luna Park,1
MÚSICA,San nicolas,Comuna 01,Teatro Colon,181
MÚSICA,San nicolas,Comuna 01,Teatro San Martin,27
MÚSICA,San nicolas,Comuna 01,Universidad Del Museo Social Argentino,1
MÚSICA,San telmo,Comuna 01,Atrio,1
MÚSICA,San telmo,Comuna 01,Centro Cultural Fortunato Lacamera,1
MÚSICA,San telmo,Comuna 01,Mamba,1
MÚSICA,San telmo,Comuna 01,Museo Historico Nacional,1
MÚSICA,San telmo,Comuna 01,Pista Urbana,4
MÚSICA,San telmo,Comuna 01,Plaza Dorrego,1
MÚSICA,Versalles,Comuna 10,Centro Cultural Versalles,4
MÚSICA,Villa crespo,Comuna 15,Biblioteca Casa De La Lectura,2
MÚSICA,Villa del parque,Comuna 11,,1
MÚSICA,Villa del parque,Comuna 11,Espacio Cultural Resurgimiento,28
MÚSICA,Villa devoto,Comuna 11,Biblioteca Antonio Devoto,1
MÚSICA,Villa devoto,Comuna 11,Cafe Garcia,1
MÚSICA,Villa lugano,Comuna 08,,3
MÚSICA,Villa lugano,Comuna 08,Centro Cultural Barrio Copello,2
MÚSICA,Villa lugano,Comuna 08,Villa 20,2
MÚSICA,Villa ortuzar,Comuna 15,Centro Cultural Roberto Santoro,2
MÚSICA,Villa soldati,Comuna 08,,2
MÚSICA,Villa soldati,Comuna 08,Barrio Fatima,1
MÚSICA,Villa soldati,Comuna 08,Instituto Nuestra Señora De Fátima,1
MÚSICA,Villa soldati,Comuna 08,Nido,1
MÚSICA,Villa soldati,Comuna 08,Plaza Carrillo,4
MÚSICA,Villa urquiza,Comuna 12,Centro Cultural 25 De Mayo,39
OTROS,Almagro,Comuna 05,Conservatorio Superior De Música Manuel De Falla,1
OTROS,Balvanera,Comuna 03,Centro Cultural Alfonsina Storni,10
OTROS,Barracas,Comuna 04,Centro Cultural La Usina,1
OTROS,Barracas,Comuna 04,Espacio Cultural Del Sur,9
OTROS,Barracas,Comuna 04,Hospital Borda,1
OTROS,Barracas,Comuna 04,Hospital General De Niños Pedro De Elizalde,2
OTROS,Barracas,Comuna 04,Hospital Infanto Juvenil Tobar Garcia,1
OTROS,Belgrano,Comuna 13,Auditorio Belgrano,1
OTROS,Belgrano,Comuna 13,Museo De Arte Español Enrique Larreta,49
OTROS,Boca,Comuna 04,,65
OTROS,Boca,Comuna 04,Barrio Lamadrid,1
OTROS,Boca,Comuna 04,Barrio Rodrigo Bueno,1
OTROS,Boca,Comuna 04,Biblioteca Joaquin V Gonzalez,3
OTROS,Boca,Comuna 04,Club Del Slack,47
OTROS,Boca,Comuna 04,Espacio Arte Al Paso,12
OTROS,Boca,Comuna 04,Fundacion Proa,1
OTROS,Boca,Comuna 04,Museo Del Cine,1
OTROS,Boca,Comuna 04,Pelookeria,4
OTROS,Boca,Comuna 04,Skate Park,8
OTROS,Boca,Comuna 04,Usina Del Arte,490
OTROS,Caballito,Comuna 06,Anfiteatro Parque Centenario,7
OTROS,Caballito,Comuna 06,Centro Cultural Alberto Olmedo,6
OTROS,Caballito,Comuna 06,Centro Cultural El Eternauta,1
OTROS,Caballito,Comuna 06,Centro Cultural Lola Mora,5
OTROS,Caballito,Comuna 06,Centro Cultural Sebastian Piana,3
OTROS,Caballito,Comuna 06,Museo Escultores L. Perlotti,6
OTROS,Chacarita,Comuna 15,Barrio Playon De Chacarita,1
OTROS,Chacarita,Comuna 15,Espacio Cultural Carlos Gardel,33
OTROS,Colegiales,Comuna 13,Centro Cultural Colegiales,1
OTROS,Colegiales,Comuna 13,Predio El Dorrego,1
OTROS,Constitucion,Comuna 01,Academia Porteña Del Lunfardo,2
OTROS,Flores,Comuna 07,Centro Cultural Barrio Rivadavia,3
OTROS,Flores,Comuna 07,Centro Cultural Roberto Arlt,2
OTROS,Flores,Comuna 07,Espacio Cultural Marco Del Pont,18
OTROS,Flores,Comuna 07,Madre Del Pueblo,1
OTROS,Flores,Comuna 07,Plaza De Los Niños Barrio Rivadavia,1
OTROS,Floresta,Comuna 10,Centro Cultural Baldomero Fernandez Moreno,7
OTROS,Liniers,Comuna 09,Biblioteca Jose Hernandez,3
OTROS,Liniers,Comuna 09,Centro Cultural Elias Castelnuovo,2
OTROS,Liniers,Comuna 09,Hospital Santojanni,1
OTROS,Mataderos,Comuna 09,Centro Cultural Macedonio Fernandez,2
OTROS,Mataderos,Comuna 09,Feria De Mataderos,3
OTROS,Monserrat,Comuna 01,,1
OTROS,Monserrat,Comuna 01,Academia Nacional Del Tango,1
OTROS,Monserrat,Comuna 01,Biblioteca Martin Del Barco Centenera,1
OTROS,Monserrat,Comuna 01,Casa De La Cultura,5
OTROS,Monserrat,Comuna 01,Casa Museo Fernandez Blanco,3
OTROS,Monserrat,Comuna 01,Espacio Virrey Liniers,3
OTROS,Monserrat,Comuna 01,Legislatura Porteña,2
OTROS,Monserrat,Comuna 01,Museo De La Ciudad,1
OTROS,Monserrat,Comuna 01,Museo Del Traje,14
OTROS,Monte castro,Comuna 10,Centro Cultural El Taller,1
OTROS,Monte castro,Comuna 10,Hospital De Rehabilitacion Manuel Roca,1
OTROS,Nueva pompeya,Comuna 04,Centro Cultural Del Bajo Flores,2
OTROS,Nueva pompeya,Comuna 04,Centro Cultural Homero Manzi,1
OTROS,Nueva pompeya,Comuna 04,Club Juventud Y Armonia,1
OTROS,Nueva pompeya,Comuna 04,Polo Bandoneon,1
OTROS,Nuñez,Comuna 13,Museo Malvinas E Islas Atlantico Sur,6
OTROS,Palermo,Comuna 14,,1
OTROS,Palermo,Comuna 14,Galeria Espacio Pla,1
OTROS,Palermo,Comuna 14,Museo Jose Hernandez,19
OTROS,Palermo,Comuna 14,Museo Sivori,7
OTROS,Parque avellaneda,Comuna 09,Barrio Cildañez,1
OTROS,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,14
OTROS,Parque chacabuco,Comuna 07,Espacio Cultural Adan Buenosayres,21
OTROS,Parque patricios,Comuna 04,Biblioteca Enrique Banchs,1
OTROS,Parque patricios,Comuna 04,Hospital De Pediatria Garrahan,3
OTROS,Paternal,Comuna 15,,1
OTROS,Paternal,Comuna 15,La Becciu: Biblioteca Popular,1
OTROS,Puerto madero,Comuna 01,Ex-cerveceria Munich,5
OTROS,Recoleta,Comuna 02,Barrio Saldias,1
OTROS,Recoleta,Comuna 02,Centro Costa Salguero,1
OTROS,Recoleta,Comuna 02,Centro Cultural Recoleta,35
OTROS,Recoleta,Comuna 02,Hospital De Niños Ricardo Gutierrez,3
OTROS,Recoleta,Comuna 02,Hospital General De Agudos Bernardino Rivadavia,2
OTROS,Recoleta,Comuna 02,Plaza Francia,4
OTROS,Retiro,Comuna 01,Barrio 31,2
OTROS,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,4
OTROS,Saavedra,Comuna 12,Centro Cultural Lino E. Spilimbergo,1
OTROS,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,64
OTROS,San cristobal,Comuna 03,,10
OTROS,San cristobal,Comuna 03,Distintos Puntos De La Ciudad,1
OTROS,San cristobal,Comuna 03,Espacio Cultural Julian Centeya,18
OTROS,San nicolas,Comuna 01,,1
OTROS,San nicolas,Comuna 01,Cck,3
OTROS,San nicolas,Comuna 01,Centro Cultural San Martin,252
OTROS,San nicolas,Comuna 01,Teatro Colon,16
OTROS,San nicolas,Comuna 01,Teatro San Martin,2
OTROS,San telmo,Comuna 01,Centro Cultural Fortunato Lacamera,1
OTROS,San telmo,Comuna 01,Mamba,19
OTROS,Versalles,Comuna 10,Centro Cultural Versalles,8
OTROS,Villa crespo,Comuna 15,,1
OTROS,Villa crespo,Comuna 15,Biblioteca Casa De La Lectura,14
OTROS,Villa crespo,Comuna 15,Centro Cultural Osvaldo Pugliese,1
OTROS,Villa crespo,Comuna 15,Escuela 17 De 7 Francisco De Vitoria,1
OTROS,Villa crespo,Comuna 15,Pastrami Don Elios,1
OTROS,Villa del parque,Comuna 11,Espacio Cultural Resurgimiento,27
OTROS,Villa devoto,Comuna 11,Centro Cultural Devoto,8
OTROS,Villa lugano,Comuna 08,Centro Cultural Barrio Copello,6
OTROS,Villa lugano,Comuna 08,Villa 20,2
OTROS,Villa ortuzar,Comuna 15,Centro Cultural Roberto Santoro,2
OTROS,Villa santa rita,Comuna 11,,1
OTROS,Villa soldati,Comuna 08,,1
OTROS,Villa soldati,Comuna 08,Nido,1
OTROS,Villa urquiza,Comuna 12,Centro Cultural 25 De Mayo,55
OTROS,Villa urquiza,Comuna 12,Centro Cultural Belgrano,6
PATRIMONIO MATERIAL,Balvanera,Comuna 03,Atrio,4
PATRIMONIO MATERIAL,Balvanera,Comuna 03,Museo Casa Carlos Gardel,9
PATRIMONIO MATERIAL,Barracas,Comuna 04,,1
PATRIMONIO MATERIAL,Barracas,Comuna 04,Museo Historico Nacional,8
PATRIMONIO MATERIAL,Belgrano,Comuna 13,Museo De Arte Español Enrique Larreta,2
PATRIMONIO MATERIAL,Boca,Comuna 04,Puerta Del Bar La Perla,1
PATRIMONIO MATERIAL,Boedo,Comuna 05,Museo Historico Monte Piedad,3
PATRIMONIO MATERIAL,Caballito,Comuna 06,Museo Escultores L. Perlotti,3
PATRIMONIO MATERIAL,Constitucion,Comuna 01,,1
PATRIMONIO MATERIAL,Constitucion,Comuna 01,Santa Casa Servicios Espirituales,1
PATRIMONIO MATERIAL,Flores,Comuna 07,Atrio,4
PATRIMONIO MATERIAL,Liniers,Comuna 09,Biblioteca Jose Hernandez,3
PATRIMONIO MATERIAL,Monserrat,Comuna 01,,14
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Antiguo Congreso,12
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Atrio,17
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Cafe Tortori,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Casa Altos De Elorriaga,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Casa De La Cultura,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Casa Museo Fernandez Blanco,40
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Centro Austariano,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Edificio Libertador General San Martin,6
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Espacio Virrey Liniers,13
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Fundacion Cassara,5
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Legislatura Porteña,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Manzana De Las Luces,22
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Museo Calbildo Buenos Aires,33
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Museo Casa Rosada,42
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Museo De La Ciudad,2
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Museo De Minerales-munin,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Museo Del Traje,17
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Museo Etnografico,1
PATRIMONIO MATERIAL,Monserrat,Comuna 01,Pasaje Belgrano,1
PATRIMONIO MATERIAL,Palermo,Comuna 14,Automovil Club Argentino,8
PATRIMONIO MATERIAL,Palermo,Comuna 14,Museo Jose Hernandez,4
PATRIMONIO MATERIAL,Palermo,Comuna 14,Museo Sivori,1
PATRIMONIO MATERIAL,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,60
PATRIMONIO MATERIAL,Parque chacabuco,Comuna 07,Biblioteca Estanislao Del Campo,1
PATRIMONIO MATERIAL,Parque patricios,Comuna 04,,1
PATRIMONIO MATERIAL,Puerto madero,Comuna 01,Buque Museo Ara Corbeta Uruguay,3
PATRIMONIO MATERIAL,Puerto madero,Comuna 01,Buque Museo Fragata Ara Presidente Sarmiento,23
PATRIMONIO MATERIAL,Puerto madero,Comuna 01,Ex-cerveceria Munich,2
PATRIMONIO MATERIAL,Recoleta,Comuna 02,Plaza Vicente Lopez,1
PATRIMONIO MATERIAL,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,37
PATRIMONIO MATERIAL,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,1
PATRIMONIO MATERIAL,San nicolas,Comuna 01,,5
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Bolsa De Comercio,1
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Catedral Metropolitana,2
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Galeria Guemes,15
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Hotel Panamericano,8
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Museo Mitre,1
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Palacio San Miguel,1
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Restaurante Zirkel. Club Aleman,8
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Teatro Colon,117
PATRIMONIO MATERIAL,San nicolas,Comuna 01,Teatro San Martin,1
PATRIMONIO MATERIAL,San telmo,Comuna 01,,4
PATRIMONIO MATERIAL,San telmo,Comuna 01,Asociacion Japonesa Buenos Aires,1
PATRIMONIO MATERIAL,San telmo,Comuna 01,Atrio,1
PATRIMONIO MATERIAL,San telmo,Comuna 01,Casal Catalunya,9
PATRIMONIO MATERIAL,San telmo,Comuna 01,Distintos Puntos De La Ciudad,1
PATRIMONIO MATERIAL,San telmo,Comuna 01,Mamba,5
PATRIMONIO MATERIAL,San telmo,Comuna 01,Museo Antartico,1
PATRIMONIO MATERIAL,San telmo,Comuna 01,Plaza Dorrego,3
PATRIMONIO MATERIAL,San telmo,Comuna 01,Pulperia Quilapan,1
PATRIMONIO MATERIAL,San telmo,Comuna 01,Zanjon De Grandos,5
