LATITUD,LONGITUD,ESTABLECIMIENTO,AIRELIBRE,BARRIO,TIPO,CANTIDAD
-34.633122009481234,-58.35335327497871,Barrio Lamadrid,NO ESPECIFICA,Boca,Barrio,1
-34.6629353,-58.4546416,Barrio Los Piletones,NO,,Barrio,1
-34.583846,-58.454586,Barrio Playon De Chacarita,NO,Chacarita,Barrio,2
-34.583846206709474,-58.45458626918554,Barrio Playon De Chacarita,NO,Chacarita,Barrio,7
-34.583846206709474,-58.45458626918554,Barrio Playon De Chacarita,SI,Chacarita,Barrio,2
-34.623329906738604,-58.35351607832316,Barrio Rodrigo Bueno,NO,Boca,Barrio,9
-34.57530046562226,-58.39945832479622,Barrio Saldias,NO,Recoleta,Barrio,3
-34.650452651326525,-58.4046682045472,Barrio Zavalela,NO,Nueva pompeya,Barrio,1
-34.6094507,-58.3821686,Bazar De Magia,NO,,,1
-34.68500124516693,-58.46355092173582,Biblioteca Alvaro Yunque,NO,Villa lugano,Biblioteca,6
-34.59931194686649,-58.51089314204147,Biblioteca Antonio Devoto,NO,Villa devoto,Biblioteca,9
-34.59135290571172,-58.45036405033721,Biblioteca Baldomero Fernandez Moreno,NO,Chacarita,Biblioteca,10
-34.581349743666664,-58.42387506537188,Biblioteca Carlos Guido Y Spano,NO,Palermo,Biblioteca,45
-34.581349743666664,-58.42387506537188,Biblioteca Carlos Guido Y Spano,NO ESPECIFICA,Palermo,Biblioteca,1
-34.59788444104003,-58.42980330035333,Biblioteca Casa De La Lectura,NO,Villa crespo,Biblioteca,289
-34.59788444104003,-58.42980330035333,Biblioteca Casa De La Lectura,NO ESPECIFICA,Villa crespo,Biblioteca,16
-34.59788444104003,-58.42980330035333,Biblioteca Casa De La Lectura,SI,Villa crespo,Biblioteca,7
-34.63751515198204,-58.40742949814535,Biblioteca Enrique Banchs,NO,Parque patricios,Biblioteca,33
-34.634051710654695,-58.43833783231772,Biblioteca Estanislao Del Campo,NO ESPECIFICA,Parque chacabuco,Biblioteca,1
-34.62333670051808,-58.49222261701263,Biblioteca Hilario Ascasubi,NO,Floresta,Biblioteca,37
-34.62333670051808,-58.49222261701263,Biblioteca Hilario Ascasubi,NO ESPECIFICA,Floresta,Biblioteca,1
-34.62333670051808,-58.49222261701263,Biblioteca Hilario Ascasubi,SI,Floresta,Biblioteca,1
-34.635417590607624,-58.359041839999705,Biblioteca Joaquin V Gonzalez,NO,Boca,Biblioteca,37
-34.635417590607624,-58.359041839999705,Biblioteca Joaquin V Gonzalez,SI,Boca,Biblioteca,2
-34.64636149393454,-58.52096285883602,Biblioteca Jose Hernandez,NO,Liniers,Biblioteca,6
-34.64636149,-58.52096286,Biblioteca Jose Hernandez,NO ESPECIFICA,Liniers,Biblioteca,1
-34.56159928879758,-58.448722431649,Biblioteca La Reina Batata,NO,Belgrano,Biblioteca,10
-34.61471499877051,-58.38814024640189,Biblioteca Martin Del Barco Centenera,NO,Monserrat,Biblioteca,41
-34.61471499877051,-58.38814024640189,Biblioteca Martin Del Barco Centenera,NO ESPECIFICA,Monserrat,Biblioteca,1
-34.61471499877051,-58.38814024640189,Biblioteca Martin Del Barco Centenera,SI,Monserrat,Biblioteca,3
-34.62500862987283,-58.426347325269624,Biblioteca Miguel Cane,NO,Boedo,Biblioteca,2
-34.6700737,-58.4548418,Biblioteca Norah Lange,NO ESPECIFICA,,Biblioteca,2
-34.549028763123005,-58.47258045573923,Biblioteca Popular Cornelio Saavedra,NO,Saavedra,Biblioteca,4
-34.60957797818846,-58.48391969262036,Biblioteca Rafael Obligado,NO,Villa santa rita,Biblioteca,19
-34.59363884061729,-58.385949982372814,Biblioteca Ricardo Guiraldes,NO,Retiro,Biblioteca,97
-34.59363884061729,-58.385949982372814,Biblioteca Ricardo Guiraldes,NO ESPECIFICA,Retiro,Biblioteca,1
-34.584759562052035,-58.39775381624413,Bliblioteca Nacional,NO,Recoleta,Biblioteca,6
-34.604264986337284,-58.37089840348103,Bolsa De Comercio,NO,San nicolas,,10
-34.603405240550366,-58.367083837473494,Buque Museo Ara Corbeta Uruguay,SI,Puerto madero,Museo,3
-34.609374469996325,-58.36639953002723,Buque Museo Fragata Ara Presidente Sarmiento,DECISION DE LA ESCUELA,Puerto madero,Museo,1
-34.609374469996325,-58.36639953002723,Buque Museo Fragata Ara Presidente Sarmiento,NO,Puerto madero,Museo,1
-34.609374469996325,-58.36639953002723,Buque Museo Fragata Ara Presidente Sarmiento,SI,Puerto madero,Museo,21
-34.60635337988071,-58.51059071127131,Cafe Garcia,NO,Villa devoto,,2
-34.60635337988071,-58.51059071127131,Cafe Garcia,NO ESPECIFICA,Villa devoto,,2
-34.60882071063797,-58.37812906529784,Cafe Tortoni,NO,Monserrat,,2
-34.60882071063797,-58.37812906529784,Cafe Tortoni,SI,Monserrat,,1
-34.5985392,-58.4183222,Camarín De Las Musas,NO,,,1
-34.58338631967589,-58.37480399710721,Cancha 9,NO,Retiro,,1
-34.5864656,-58.3939406,Cancha De Los Paraguayos,NO,Recoleta,,5
-34.5864938304228,-58.39157761250419,Cancha De Los Paraguayos,NO,Recoleta,,4
-34.5864656,-58.3939406,Cancha De Los Paraguayos,NO ESPECIFICA,Recoleta,,1
-34.61000933610084,-58.37211019337147,Casa Altos De Elorriaga,NO,Monserrat,,1
-34.60848379973595,-58.37440435532054,Casa De La Cultura,NO,Monserrat,Centro Cultural,17
-34.60848379973595,-58.37440435532054,Casa De La Cultura,NO ESPECIFICA,Monserrat,Centro Cultural,2
-34.60848379973595,-58.37440435532054,Casa De La Cultura,SI,Monserrat,Centro Cultural,1
-34.6089193,-58.4351477,Casa Del Parque,NO,,Parque/Plaza/Anfiteatro,4
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,DECISION DE LA ESCUELA,Monserrat,Museo,3
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,NO,Monserrat,Museo,75
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,NO ESPECIFICA,Monserrat,Museo,10
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,SI,Monserrat,Museo,32
-34.5908033,-58.3821339,Casa Museo Fernandez Blanco,NO ESPECIFICA,Monserrat,Museo,4
-34.62562327659284,-58.401858833213446,Casa Trans,NO,San cristobal,,1
-34.61816590006903,-58.37591640925527,Casal Catalunya,NO,San telmo,,9
-34.61816590006903,-58.37591640925527,Casal Catalunya,SI,San telmo,,3
-34.60785634609108,-58.37271655946429,Catedral Metropolitana,NO,San nicolas,,2
-34.60423472247466,-58.36937619460313,Cck,NO,San nicolas,,9
-34.60423472247466,-58.36937619460313,Cck,NO ESPECIFICA,San nicolas,,6
-34.6046896,-58.3981867,C.C. Rojas,NO,,Centro Cultural,2
-34.614550198548216,-58.390429144862594,Centro Austariano,NO,Monserrat,Centro Cultural,1
-34.56994449047715,-58.39919313515308,Centro Costa Salguero,NO ESPECIFICA,Recoleta,Centro Cultural,1
-34.5761744196643,-58.48356797505019,Centro Cultural 25 De Mayo,NO,Villa urquiza,Centro Cultural,563
-34.5761744196643,-58.48356797505019,Centro Cultural 25 De Mayo,NO ESPECIFICA,Villa urquiza,Centro Cultural,20
-34.6081703798867,-58.45330646753296,Centro Cultural Alberto Olmedo,NO,Caballito,Centro Cultural,7
-34.60032472276961,-58.41161585586231,Centro Cultural Alfonsina Storni,NO,Balvanera,Centro Cultural,29
-34.621550072704295,-58.49228807819247,Centro Cultural Baldomero Fernandez Moreno,NO,Floresta,Centro Cultural,10
-34.66596448203286,-58.47327195084701,Centro Cultural Barrio Copello,NO,Villa lugano,Centro Cultural,14
-34.66596448203286,-58.47327195084701,Centro Cultural Barrio Copello,SI,Villa lugano,Centro Cultural,1
-34.64357233303489,-58.44147698057611,Centro Cultural Barrio Rivadavia,NO,Flores,Centro Cultural,3
-34.6436103,-58.4436702,Centro Cultural Barrio Rivadavia,NO,,Centro Cultural,1
-34.57315169570382,-58.468626249378836,Centro Cultural Belgrano,NO,Villa urquiza,Centro Cultural,6
-34.5997204,-58.3764916,Centro Cultural Borges,NO,,Centro Cultural,4
-34.6538069,-58.3985739,Centro Cultural Casa Cambalache,NO,,Centro Cultural,1
-34.57653930780401,-58.452344950885035,Centro Cultural Colegiales,NO,Colegiales,Centro Cultural,6
-34.6041475083274,-58.38854005506371,Centro Cultural De La Cooperacion,NO,San nicolas,Centro Cultural,5
